TOA5,CR1000,CR1000,8841,CR1000.Std.25,CPU:lab6_CS.CR1,58691,CS
TIMESTAMP,RECORD,Batt_Volt_Min,T_CS,RH_CS,,,
TS,RN,Volts,degC,%,,,
,,Min,Smp,Smp,,,
2020-02-14 11:20,399,13.13,24,2.002,,,
2020-02-14 11:20,400,13.14,24,1.968,,,
2020-02-14 11:20,401,13.13,24.05,2.002,,,
2020-02-14 11:20,402,13.13,24.02,1.985,,,
2020-02-14 11:20,403,13.13,23.99,1.951,,,
2020-02-14 11:20,404,13.14,24.02,1.968,,,
2020-02-14 11:20,405,13.13,24,1.968,,,
2020-02-14 11:20,406,13.13,24.05,1.951,,,
2020-02-14 11:20,407,13.14,24.04,1.968,,,
2020-02-14 11:20,408,13.14,24.02,1.968,,,
2020-02-14 11:20,409,13.13,24,1.968,,,
2020-02-14 11:20,410,13.14,24,1.968,,,
2020-02-14 11:20,411,13.13,24.04,1.985,,,
2020-02-14 11:20,412,13.13,24,1.951,,,
2020-02-14 11:20,413,13.13,24,1.951,,,
2020-02-14 11:21,414,13.14,24.02,1.968,,,
2020-02-14 11:21,415,13.13,23.99,1.934,,,
2020-02-14 11:21,416,13.13,24.04,1.934,,,
2020-02-14 11:21,417,13.13,24.02,1.951,,,
2020-02-14 11:21,418,13.13,23.99,1.934,,,
2020-02-14 11:21,419,13.13,23.99,1.951,,,
2020-02-14 11:21,420,13.13,23.99,1.918,,,
2020-02-14 11:21,421,13.13,24.02,1.934,,,
2020-02-14 11:21,422,13.13,24.04,1.968,,,
2020-02-14 11:21,423,13.13,23.99,1.934,,,
2020-02-14 11:21,424,13.13,23.99,1.934,,,
2020-02-14 11:21,425,13.14,23.97,1.918,,,
2020-02-14 11:21,426,13.13,23.99,1.884,,,
2020-02-14 11:21,427,13.14,24.02,1.918,,,
2020-02-14 11:21,428,13.13,23.97,1.918,,,
2020-02-14 11:21,429,13.13,23.93,1.918,,,
2020-02-14 11:21,430,13.13,23.95,1.918,,,
2020-02-14 11:21,431,13.13,23.95,1.918,,,
2020-02-14 11:21,432,13.13,24,1.918,,,
2020-02-14 11:21,433,13.13,24,1.901,,,
2020-02-14 11:21,434,13.13,24.02,1.918,,,
2020-02-14 11:21,435,13.14,23.99,1.934,,,
2020-02-14 11:21,436,13.13,23.95,1.918,,,
2020-02-14 11:21,437,13.14,23.99,1.901,,,
2020-02-14 11:21,438,13.14,24.05,1.901,,,
2020-02-14 11:21,439,13.13,24,1.951,,,
2020-02-14 11:21,440,13.13,23.97,2.002,,,
2020-02-14 11:21,441,13.13,23.99,2.053,,,
2020-02-14 11:21,442,13.14,24.02,2.121,,,
2020-02-14 11:21,443,13.13,24,2.121,,,
2020-02-14 11:21,444,13.13,23.92,2.172,,,
2020-02-14 11:21,445,13.13,23.99,2.189,,,
2020-02-14 11:21,446,13.13,23.99,2.257,,,
2020-02-14 11:21,447,13.13,24.04,2.291,,,
2020-02-14 11:21,448,13.13,23.99,2.393,,,
2020-02-14 11:21,449,13.13,24,2.427,,,
2020-02-14 11:21,450,13.13,23.99,2.562,,,
2020-02-14 11:21,451,13.13,24.02,2.63,,,
2020-02-14 11:21,452,13.14,24.02,2.647,,,
2020-02-14 11:21,453,13.13,24,2.698,,,
2020-02-14 11:21,454,13.13,23.93,2.715,,,
2020-02-14 11:21,455,13.13,23.97,2.8,,,
2020-02-14 11:21,456,13.12,24.04,2.834,,,
2020-02-14 11:21,457,13.13,24.04,2.834,,,
2020-02-14 11:21,458,13.13,24.02,2.885,,,
2020-02-14 11:21,459,13.12,23.99,2.902,,,
2020-02-14 11:21,460,13.13,24,2.919,,,
2020-02-14 11:21,461,13.13,24.05,2.936,,,
2020-02-14 11:21,462,13.13,24.02,2.885,,,
2020-02-14 11:21,463,13.13,23.99,2.919,,,
2020-02-14 11:21,464,13.13,23.92,2.885,,,
2020-02-14 11:21,465,13.13,23.88,2.817,,,
2020-02-14 11:21,466,13.12,23.95,2.8,,,
2020-02-14 11:21,467,13.13,23.97,2.698,,,
2020-02-14 11:21,468,13.13,24,2.613,,,
2020-02-14 11:21,469,13.13,23.97,2.528,,,
2020-02-14 11:21,470,13.13,24,2.359,,,
2020-02-14 11:21,471,13.13,24.04,2.308,,,
2020-02-14 11:21,472,13.13,24,2.206,,,
2020-02-14 11:21,473,13.12,23.99,2.155,,,
2020-02-14 11:22,474,13.12,23.99,2.189,,,
2020-02-14 11:22,475,13.12,24,2.308,,,
2020-02-14 11:22,476,13.13,24.05,2.376,,,
2020-02-14 11:22,477,13.12,23.98,2.562,,,
2020-02-14 11:22,478,13.13,24,2.715,,,
2020-02-14 11:22,479,13.13,24.07,3.02,,,
